txn_id,product_id,warehouse_id,txn_date,txn_type,qty_in,qty_out,unit_cost
95,3,1,2025-02-12,IN,63.00,0.00,22.88
96,3,1,2025-02-14,OUT,0.00,35.00,22.07
97,3,1,2025-02-18,IN,120.00,0.00,22.66
98,3,1,2025-02-20,OUT,0.00,137.00,22.03
99,3,1,2025-02-24,IN,123.00,0.00,23.12
100,3,1,2025-02-26,OUT,0.00,11.00,22.96
101,3,1,2025-03-02,IN,143.00,0.00,23.14
102,3,1,2025-03-04,OUT,0.00,54.00,22.42
103,3,1,2025-03-08,IN,147.00,0.00,22.31
104,3,1,2025-03-10,OUT,0.00,79.00,22.61
105,3,1,2025-03-14,IN,59.00,0.00,21.83
106,3,1,2025-03-16,OUT,0.00,68.00,22.69
107,3,1,2025-03-20,IN,115.00,0.00,23.22
108,3,1,2025-03-22,OUT,0.00,123.00,21.83
109,3,1,2025-03-26,IN,116.00,0.00,23.19
110,3,1,2025-03-28,OUT,0.00,32.00,21.71
111,3,1,2025-04-01,IN,126.00,0.00,21.85
112,3,1,2025-04-03,OUT,0.00,50.00,21.79
113,3,1,2025-04-07,IN,179.00,0.00,22.66
114,3,1,2025-04-09,OUT,0.00,70.00,22.91
115,3,1,2025-04-13,IN,41.00,0.00,22.29
116,3,1,2025-04-15,OUT,0.00,16.00,22.09
117,3,1,2025-04-19,IN,90.00,0.00,22.59
118,3,1,2025-04-21,OUT,0.00,38.00,22.70
119,3,1,2025-04-25,IN,145.00,0.00,21.82
120,3,1,2025-04-27,OUT,0.00,84.00,22.72
121,4,1,2025-01-01,IN,37.00,0.00,26.68
122,4,1,2025-01-03,OUT,0.00,122.00,28.31
123,4,1,2025-01-07,IN,21.00,0.00,26.51
124,4,1,2025-01-09,OUT,0.00,11.00,26.36
125,4,1,2025-01-13,IN,115.00,0.00,27.25
126,4,1,2025-01-15,OUT,0.00,140.00,27.89
127,4,1,2025-01-19,IN,75.00,0.00,27.02
128,4,1,2025-01-21,OUT,0.00,31.00,26.59
129,4,1,2025-01-25,IN,89.00,0.00,27.82
130,4,1,2025-01-27,OUT,0.00,10.00,28.31
131,4,1,2025-01-31,IN,119.00,0.00,26.60
132,4,1,2025-02-02,OUT,0.00,65.00,28.30
133,4,1,2025-02-06,IN,64.00,0.00,26.54
134,4,1,2025-02-08,OUT,0.00,132.00,27.25
135,4,1,2025-02-12,IN,153.00,0.00,28.30
136,4,1,2025-02-14,OUT,0.00,34.00,28.35
137,4,1,2025-02-18,IN,95.00,0.00,27.89
138,4,1,2025-02-20,OUT,0.00,122.00,26.36
139,4,1,2025-02-24,IN,131.00,0.00,27.95
140,4,1,2025-02-26,OUT,0.00,51.00,27.08
141,4,1,2025-03-02,IN,86.00,0.00,28.40
142,4,1,2025-03-04,OUT,0.00,108.00,27.33
143,4,1,2025-03-08,IN,46.00,0.00,28.26
144,4,1,2025-03-10,OUT,0.00,70.00,27.53
145,4,1,2025-03-14,IN,127.00,0.00,28.05
146,4,1,2025-03-16,OUT,0.00,124.00,27.35
147,4,1,2025-03-20,IN,75.00,0.00,27.75
148,4,1,2025-03-22,OUT,0.00,137.00,27.93
149,4,1,2025-03-26,IN,29.00,0.00,26.67
150,4,1,2025-03-28,OUT,0.00,46.00,27.73
151,4,1,2025-04-01,IN,108.00,0.00,27.24
152,4,1,2025-04-03,OUT,0.00,57.00,27.38
153,4,1,2025-04-07,IN,70.00,0.00,26.49
154,4,1,2025-04-09,OUT,0.00,51.00,28.20
155,4,1,2025-04-13,IN,27.00,0.00,26.36
156,4,1,2025-04-15,OUT,0.00,85.00,27.96
157,4,1,2025-04-19,IN,136.00,0.00,27.69
158,4,1,2025-04-21,OUT,0.00,124.00,26.94
159,4,1,2025-04-25,IN,138.00,0.00,27.10
160,4,1,2025-04-27,OUT,0.00,65.00,26.53
161,5,1,2025-01-01,IN,140.00,0.00,15.90
162,5,1,2025-01-03,OUT,0.00,11.00,15.87
163,5,1,2025-01-07,IN,96.00,0.00,16.19
164,5,1,2025-01-09,OUT,0.00,130.00,15.60
165,5,1,2025-01-13,IN,125.00,0.00,15.71
166,5,1,2025-01-15,OUT,0.00,19.00,15.53
167,5,1,2025-01-19,IN,87.00,0.00,15.58
168,5,1,2025-01-21,OUT,0.00,57.00,15.33
169,5,1,2025-01-25,IN,138.00,0.00,15.40
170,5,1,2025-01-27,OUT,0.00,45.00,15.98
171,5,1,2025-01-31,IN,128.00,0.00,15.12
172,5,1,2025-02-02,OUT,0.00,73.00,15.55
173,5,1,2025-02-06,IN,137.00,0.00,16.06
174,5,1,2025-02-08,OUT,0.00,108.00,16.06
175,5,1,2025-02-12,IN,104.00,0.00,15.57
176,5,1,2025-02-14,OUT,0.00,132.00,15.93
177,5,1,2025-02-18,IN,89.00,0.00,15.80
178,5,1,2025-02-20,OUT,0.00,137.00,16.03
179,5,1,2025-02-24,IN,69.00,0.00,15.08
180,5,1,2025-02-26,OUT,0.00,31.00,15.17
181,5,1,2025-03-02,IN,129.00,0.00,15.46
182,5,1,2025-03-04,OUT,0.00,58.00,15.35
183,5,1,2025-03-08,IN,90.00,0.00,15.98
184,5,1,2025-03-10,OUT,0.00,18.00,15.51
185,5,1,2025-03-14,IN,83.00,0.00,15.31
186,5,1,2025-03-16,OUT,0.00,41.00,15.44
187,5,1,2025-03-20,IN,102.00,0.00,15.35
188,5,1,2025-03-22,OUT,0.00,45.00,15.57
189,5,1,2025-03-26,IN,166.00,0.00,15.08
190,5,1,2025-03-28,OUT,0.00,106.00,15.94
191,5,1,2025-04-01,IN,85.00,0.00,16.10
192,5,1,2025-04-03,OUT,0.00,47.00,15.83
193,5,1,2025-04-07,IN,74.00,0.00,15.11
194,5,1,2025-04-09,OUT,0.00,117.00,15.45
195,5,1,2025-04-13,IN,112.00,0.00,15.21
196,5,1,2025-04-15,OUT,0.00,99.00,15.14
197,5,1,2025-04-19,IN,106.00,0.00,15.23
198,5,1,2025-04-21,OUT,0.00,123.00,16.02
199,5,1,2025-04-25,IN,145.00,0.00,16.21
200,5,1,2025-04-27,OUT,0.00,63.00,15.88
201,6,1,2025-01-01,IN,49.00,0.00,10.78
202,6,1,2025-01-03,OUT,0.00,123.00,10.75
203,6,1,2025-01-07,IN,138.00,0.00,10.57
204,6,1,2025-01-09,OUT,0.00,120.00,10.81
205,6,1,2025-01-13,IN,156.00,0.00,11.32
206,6,1,2025-01-15,OUT,0.00,69.00,10.82
207,6,1,2025-01-19,IN,179.00,0.00,11.23
208,6,1,2025-01-21,OUT,0.00,133.00,11.22
209,6,1,2025-01-25,IN,31.00,0.00,10.73
210,6,1,2025-01-27,OUT,0.00,125.00,10.95
211,6,1,2025-01-31,IN,30.00,0.00,10.78
212,6,1,2025-02-02,OUT,0.00,66.00,11.18
213,6,1,2025-02-06,IN,68.00,0.00,10.57
214,6,1,2025-02-08,OUT,0.00,68.00,10.97
215,6,1,2025-02-12,IN,124.00,0.00,11.09
216,6,1,2025-02-14,OUT,0.00,122.00,10.79
217,6,1,2025-02-18,IN,119.00,0.00,11.26
218,6,1,2025-02-20,OUT,0.00,26.00,11.09
219,6,1,2025-02-24,IN,56.00,0.00,11.18
220,6,1,2025-02-26,OUT,0.00,66.00,10.95
221,6,1,2025-03-02,IN,28.00,0.00,11.24
222,6,1,2025-03-04,OUT,0.00,65.00,10.52
223,6,1,2025-03-08,IN,58.00,0.00,10.55
224,6,1,2025-03-10,OUT,0.00,112.00,10.52
225,6,1,2025-03-14,IN,48.00,0.00,10.76
226,6,1,2025-03-16,OUT,0.00,83.00,11.10
227,6,1,2025-03-20,IN,108.00,0.00,11.07
228,6,1,2025-03-22,OUT,0.00,12.00,10.76
229,6,1,2025-03-26,IN,41.00,0.00,11.15
230,6,1,2025-03-28,OUT,0.00,33.00,10.98
231,6,1,2025-04-01,IN,33.00,0.00,11.02
232,6,1,2025-04-03,OUT,0.00,61.00,10.49
233,6,1,2025-04-07,IN,137.00,0.00,11.20
234,6,1,2025-04-09,OUT,0.00,40.00,10.96
235,6,1,2025-04-13,IN,152.00,0.00,10.75
236,6,1,2025-04-15,OUT,0.00,77.00,10.90
237,6,1,2025-04-19,IN,39.00,0.00,11.15
238,6,1,2025-04-21,OUT,0.00,74.00,11.21
239,6,1,2025-04-25,IN,45.00,0.00,10.65
240,6,1,2025-04-27,OUT,0.00,110.00,11.00
241,7,1,2025-01-01,IN,65.00,0.00,74.53
242,7,1,2025-01-03,OUT,0.00,57.00,74.99
243,7,1,2025-01-07,IN,132.00,0.00,74.27
244,7,1,2025-01-09,OUT,0.00,79.00,75.59
245,7,1,2025-01-13,IN,76.00,0.00,73.93
246,7,1,2025-01-15,OUT,0.00,92.00,74.14
247,7,1,2025-01-19,IN,43.00,0.00,78.00
248,7,1,2025-01-21,OUT,0.00,109.00,75.59
249,7,1,2025-01-25,IN,93.00,0.00,74.85
250,7,1,2025-01-27,OUT,0.00,138.00,75.88
251,7,1,2025-01-31,IN,132.00,0.00,77.86
252,7,1,2025-02-02,OUT,0.00,43.00,78.82
253,7,1,2025-02-06,IN,83.00,0.00,75.10
254,7,1,2025-02-08,OUT,0.00,38.00,74.03
255,7,1,2025-02-12,IN,109.00,0.00,77.92
256,7,1,2025-02-14,OUT,0.00,116.00,76.92
257,7,1,2025-02-18,IN,129.00,0.00,75.85
258,7,1,2025-02-20,OUT,0.00,60.00,76.02
259,7,1,2025-02-24,IN,152.00,0.00,77.81
260,7,1,2025-02-26,OUT,0.00,78.00,79.10
261,7,1,2025-03-02,IN,35.00,0.00,73.79
262,7,1,2025-03-04,OUT,0.00,12.00,74.04
263,7,1,2025-03-08,IN,151.00,0.00,76.21
264,7,1,2025-03-10,OUT,0.00,97.00,78.27
265,7,1,2025-03-14,IN,105.00,0.00,74.72
266,7,1,2025-03-16,OUT,0.00,76.00,77.97
267,7,1,2025-03-20,IN,81.00,0.00,79.27
268,7,1,2025-03-22,OUT,0.00,29.00,74.54
269,7,1,2025-03-26,IN,118.00,0.00,78.41
270,7,1,2025-03-28,OUT,0.00,76.00,76.94
271,7,1,2025-04-01,IN,152.00,0.00,77.03
272,7,1,2025-04-03,OUT,0.00,135.00,74.60
273,7,1,2025-04-07,IN,111.00,0.00,77.80
274,7,1,2025-04-09,OUT,0.00,93.00,78.12
275,7,1,2025-04-13,IN,87.00,0.00,74.13
276,7,1,2025-04-15,OUT,0.00,16.00,79.03
277,7,1,2025-04-19,IN,106.00,0.00,77.31
278,7,1,2025-04-21,OUT,0.00,127.00,74.07
279,7,1,2025-04-25,IN,121.00,0.00,75.30
280,7,1,2025-04-27,OUT,0.00,118.00,75.72
281,8,1,2025-01-01,IN,168.00,0.00,68.52
282,8,1,2025-01-03,OUT,0.00,111.00,70.64
283,8,1,2025-01-07,IN,44.00,0.00,67.66
284,8,1,2025-01-09,OUT,0.00,23.00,69.16
285,8,1,2025-01-13,IN,69.00,0.00,67.26
286,8,1,2025-01-15,OUT,0.00,32.00,67.92
287,8,1,2025-01-19,IN,160.00,0.00,71.77
288,8,1,2025-01-21,OUT,0.00,52.00,69.92
289,8,1,2025-01-25,IN,150.00,0.00,69.06
290,8,1,2025-01-27,OUT,0.00,21.00,71.74
291,8,1,2025-01-31,IN,79.00,0.00,69.40
292,8,1,2025-02-02,OUT,0.00,64.00,69.49
293,8,1,2025-02-06,IN,133.00,0.00,72.46
294,8,1,2025-02-08,OUT,0.00,114.00,71.06
295,8,1,2025-02-12,IN,54.00,0.00,70.76
296,8,1,2025-02-14,OUT,0.00,102.00,72.08
297,8,1,2025-02-18,IN,82.00,0.00,70.62
298,8,1,2025-02-20,OUT,0.00,91.00,67.85
299,8,1,2025-02-24,IN,129.00,0.00,71.78
300,8,1,2025-02-26,OUT,0.00,15.00,70.96
301,8,1,2025-03-02,IN,99.00,0.00,70.67
302,8,1,2025-03-04,OUT,0.00,123.00,71.69
303,8,1,2025-03-08,IN,99.00,0.00,69.14
304,8,1,2025-03-10,OUT,0.00,84.00,68.91
305,8,1,2025-03-14,IN,89.00,0.00,71.47
306,8,1,2025-03-16,OUT,0.00,121.00,69.37
307,8,1,2025-03-20,IN,54.00,0.00,69.81
308,8,1,2025-03-22,OUT,0.00,53.00,68.10
309,8,1,2025-03-26,IN,55.00,0.00,69.14
310,8,1,2025-03-28,OUT,0.00,116.00,67.93
311,8,1,2025-04-01,IN,178.00,0.00,70.68
312,8,1,2025-04-03,OUT,0.00,128.00,68.59
313,8,1,2025-04-07,IN,47.00,0.00,69.66
314,8,1,2025-04-09,OUT,0.00,80.00,67.14
315,8,1,2025-04-13,IN,154.00,0.00,71.60
316,8,1,2025-04-15,OUT,0.00,34.00,70.09
317,8,1,2025-04-19,IN,177.00,0.00,70.27
318,8,1,2025-04-21,OUT,0.00,109.00,72.14
319,8,1,2025-04-25,IN,38.00,0.00,71.61
320,8,1,2025-04-27,OUT,0.00,12.00,69.62
321,9,1,2025-01-01,IN,125.00,0.00,15.10
322,9,1,2025-01-03,OUT,0.00,113.00,15.68
323,9,1,2025-01-07,IN,148.00,0.00,15.35
324,9,1,2025-01-09,OUT,0.00,10.00,15.54
325,9,1,2025-01-13,IN,134.00,0.00,14.91
326,9,1,2025-01-15,OUT,0.00,97.00,15.74
327,9,1,2025-01-19,IN,100.00,0.00,14.98
328,9,1,2025-01-21,OUT,0.00,140.00,14.97
329,9,1,2025-01-25,IN,73.00,0.00,14.83
330,9,1,2025-01-27,OUT,0.00,108.00,15.14
331,9,1,2025-01-31,IN,55.00,0.00,15.19
332,9,1,2025-02-02,OUT,0.00,117.00,14.66
333,9,1,2025-02-06,IN,171.00,0.00,15.62
334,9,1,2025-02-08,OUT,0.00,17.00,15.11
335,9,1,2025-02-12,IN,36.00,0.00,15.70
336,9,1,2025-02-14,OUT,0.00,18.00,15.79
337,9,1,2025-02-18,IN,74.00,0.00,15.23
338,9,1,2025-02-20,OUT,0.00,66.00,15.76
339,9,1,2025-02-24,IN,111.00,0.00,15.31
340,9,1,2025-02-26,OUT,0.00,81.00,14.64
341,9,1,2025-03-02,IN,31.00,0.00,15.38
342,9,1,2025-03-04,OUT,0.00,12.00,14.88
343,9,1,2025-03-08,IN,74.00,0.00,15.26
344,9,1,2025-03-10,OUT,0.00,82.00,15.28
345,9,1,2025-03-14,IN,145.00,0.00,15.74
346,9,1,2025-03-16,OUT,0.00,15.00,15.43
347,9,1,2025-03-20,IN,79.00,0.00,14.70
348,9,1,2025-03-22,OUT,0.00,25.00,15.08
349,9,1,2025-03-26,IN,33.00,0.00,15.58
350,9,1,2025-03-28,OUT,0.00,110.00,14.84
351,9,1,2025-04-01,IN,180.00,0.00,14.67
352,9,1,2025-04-03,OUT,0.00,138.00,14.75
353,9,1,2025-04-07,IN,87.00,0.00,15.52
354,9,1,2025-04-09,OUT,0.00,102.00,15.78
355,9,1,2025-04-13,IN,64.00,0.00,14.65
356,9,1,2025-04-15,OUT,0.00,74.00,15.45
357,9,1,2025-04-19,IN,101.00,0.00,15.63
358,9,1,2025-04-21,OUT,0.00,110.00,14.73
359,9,1,2025-04-25,IN,32.00,0.00,14.94
360,9,1,2025-04-27,OUT,0.00,10.00,15.44
361,10,1,2025-01-01,IN,124.00,0.00,12.12
362,10,1,2025-01-03,OUT,0.00,17.00,11.71
363,10,1,2025-01-07,IN,167.00,0.00,11.65
364,10,1,2025-01-09,OUT,0.00,44.00,12.12
365,10,1,2025-01-13,IN,66.00,0.00,12.30
366,10,1,2025-01-15,OUT,0.00,128.00,12.16
367,10,1,2025-01-19,IN,24.00,0.00,11.88
368,10,1,2025-01-21,OUT,0.00,111.00,12.27
369,10,1,2025-01-25,IN,118.00,0.00,12.04
370,10,1,2025-01-27,OUT,0.00,100.00,11.97
371,10,1,2025-01-31,IN,57.00,0.00,12.46
372,10,1,2025-02-02,OUT,0.00,67.00,11.97
373,10,1,2025-02-06,IN,125.00,0.00,12.06
374,10,1,2025-02-08,OUT,0.00,29.00,11.97
375,10,1,2025-02-12,IN,129.00,0.00,11.71
376,10,1,2025-02-14,OUT,0.00,31.00,11.99
377,10,1,2025-02-18,IN,79.00,0.00,11.71
378,10,1,2025-02-20,OUT,0.00,16.00,11.82
379,10,1,2025-02-24,IN,143.00,0.00,11.92
380,10,1,2025-02-26,OUT,0.00,128.00,11.95
381,10,1,2025-03-02,IN,40.00,0.00,12.24
382,10,1,2025-03-04,OUT,0.00,128.00,12.15
383,10,1,2025-03-08,IN,41.00,0.00,11.94
384,10,1,2025-03-10,OUT,0.00,86.00,12.11
385,10,1,2025-03-14,IN,140.00,0.00,11.74
386,10,1,2025-03-16,OUT,0.00,86.00,12.38
387,10,1,2025-03-20,IN,157.00,0.00,12.41
388,10,1,2025-03-22,OUT,0.00,45.00,12.27
389,10,1,2025-03-26,IN,104.00,0.00,12.40
390,10,1,2025-03-28,OUT,0.00,120.00,11.73
391,10,1,2025-04-01,IN,70.00,0.00,11.89
392,10,1,2025-04-03,OUT,0.00,133.00,12.32
393,10,1,2025-04-07,IN,91.00,0.00,11.79
394,10,1,2025-04-09,OUT,0.00,15.00,12.49
395,10,1,2025-04-13,IN,60.00,0.00,12.13
396,10,1,2025-04-15,OUT,0.00,53.00,11.89
397,10,1,2025-04-19,IN,177.00,0.00,12.26
398,10,1,2025-04-21,OUT,0.00,93.00,11.97
399,10,1,2025-04-25,IN,115.00,0.00,12.16
400,10,1,2025-04-27,OUT,0.00,19.00,11.78
401,1,2,2025-01-01,IN,104.00,0.00,18.64
402,1,2,2025-01-03,OUT,0.00,114.00,18.84
403,1,2,2025-01-07,IN,127.00,0.00,18.46
404,1,2,2025-01-09,OUT,0.00,85.00,18.80
405,1,2,2025-01-13,IN,110.00,0.00,18.16
406,1,2,2025-01-15,OUT,0.00,84.00,19.31
407,1,2,2025-01-19,IN,108.00,0.00,18.91
408,1,2,2025-01-21,OUT,0.00,18.00,18.77
409,1,2,2025-01-25,IN,166.00,0.00,19.51
410,1,2,2025-01-27,OUT,0.00,27.00,19.25
411,1,2,2025-01-31,IN,90.00,0.00,19.29
412,1,2,2025-02-02,OUT,0.00,113.00,19.59
413,1,2,2025-02-06,IN,20.00,0.00,18.45
414,1,2,2025-02-08,OUT,0.00,128.00,18.67
415,1,2,2025-02-12,IN,87.00,0.00,19.51
416,1,2,2025-02-14,OUT,0.00,124.00,18.38
417,1,2,2025-02-18,IN,54.00,0.00,19.33
418,1,2,2025-02-20,OUT,0.00,17.00,18.34
419,1,2,2025-02-24,IN,31.00,0.00,19.44
420,1,2,2025-02-26,OUT,0.00,18.00,18.95
421,1,2,2025-03-02,IN,92.00,0.00,18.49
422,1,2,2025-03-04,OUT,0.00,37.00,18.42
423,1,2,2025-03-08,IN,23.00,0.00,19.30
424,1,2,2025-03-10,OUT,0.00,108.00,19.43
425,1,2,2025-03-14,IN,83.00,0.00,19.30
426,1,2,2025-03-16,OUT,0.00,110.00,19.13
427,1,2,2025-03-20,IN,121.00,0.00,19.49
428,1,2,2025-03-22,OUT,0.00,56.00,18.44
429,1,2,2025-03-26,IN,110.00,0.00,19.33
430,1,2,2025-03-28,OUT,0.00,33.00,18.64
431,1,2,2025-04-01,IN,158.00,0.00,18.96
432,1,2,2025-04-03,OUT,0.00,119.00,19.60
433,1,2,2025-04-07,IN,135.00,0.00,19.32
434,1,2,2025-04-09,OUT,0.00,103.00,19.20
435,1,2,2025-04-13,IN,172.00,0.00,19.08
436,1,2,2025-04-15,OUT,0.00,33.00,18.30
437,1,2,2025-04-19,IN,85.00,0.00,18.54
438,1,2,2025-04-21,OUT,0.00,43.00,19.49
439,1,2,2025-04-25,IN,161.00,0.00,19.41
440,1,2,2025-04-27,OUT,0.00,33.00,19.12
441,2,2,2025-01-01,IN,111.00,0.00,12.59
442,2,2,2025-01-03,OUT,0.00,90.00,12.69
443,2,2,2025-01-07,IN,85.00,0.00,12.32
444,2,2,2025-01-09,OUT,0.00,112.00,12.24
445,2,2,2025-01-13,IN,85.00,0.00,12.18
446,2,2,2025-01-15,OUT,0.00,75.00,12.41
447,2,2,2025-01-19,IN,47.00,0.00,13.12
448,2,2,2025-01-21,OUT,0.00,46.00,12.21
449,2,2,2025-01-25,IN,64.00,0.00,12.30
450,2,2,2025-01-27,OUT,0.00,47.00,12.69
451,2,2,2025-01-31,IN,150.00,0.00,12.54
452,2,2,2025-02-02,OUT,0.00,46.00,12.31
453,2,2,2025-02-06,IN,178.00,0.00,12.56
454,2,2,2025-02-08,OUT,0.00,23.00,12.91
455,2,2,2025-02-12,IN,51.00,0.00,12.16
456,2,2,2025-02-14,OUT,0.00,104.00,12.30
457,2,2,2025-02-18,IN,134.00,0.00,12.93
458,2,2,2025-02-20,OUT,0.00,94.00,12.58
459,2,2,2025-02-24,IN,177.00,0.00,12.76
460,2,2,2025-02-26,OUT,0.00,30.00,12.82
461,2,2,2025-03-02,IN,75.00,0.00,12.97
462,2,2,2025-03-04,OUT,0.00,120.00,12.18
463,2,2,2025-03-08,IN,87.00,0.00,13.13
464,2,2,2025-03-10,OUT,0.00,135.00,12.70
465,2,2,2025-03-14,IN,50.00,0.00,12.95
466,2,2,2025-03-16,OUT,0.00,51.00,12.29
467,2,2,2025-03-20,IN,78.00,0.00,12.75
468,2,2,2025-03-22,OUT,0.00,107.00,12.88
469,2,2,2025-03-26,IN,51.00,0.00,12.20
470,2,2,2025-03-28,OUT,0.00,82.00,13.09
471,2,2,2025-04-01,IN,123.00,0.00,12.92
472,2,2,2025-04-03,OUT,0.00,39.00,12.17
473,2,2,2025-04-07,IN,29.00,0.00,12.65
474,2,2,2025-04-09,OUT,0.00,55.00,12.88
475,2,2,2025-04-13,IN,158.00,0.00,12.55
476,2,2,2025-04-15,OUT,0.00,98.00,12.83
477,2,2,2025-04-19,IN,24.00,0.00,12.82
478,2,2,2025-04-21,OUT,0.00,25.00,12.79
479,2,2,2025-04-25,IN,97.00,0.00,12.62
480,2,2,2025-04-27,OUT,0.00,117.00,12.34
481,3,2,2025-01-01,IN,115.00,0.00,21.68
482,3,2,2025-01-03,OUT,0.00,73.00,21.99
483,3,2,2025-01-07,IN,74.00,0.00,22.68
484,3,2,2025-01-09,OUT,0.00,117.00,21.83
485,3,2,2025-01-13,IN,109.00,0.00,23.12
486,3,2,2025-01-15,OUT,0.00,110.00,23.07
487,3,2,2025-01-19,IN,51.00,0.00,23.00
488,3,2,2025-01-21,OUT,0.00,106.00,21.77
